Name,NumberOfInstances,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfClasses,MajorityClassPercentage
abalone (1),4177,0,7,2,29,16.5
abalone (2),4177,0,7,2,2,50.18
abalone (3),4177,0,7,2,3,34.64
acute-inflammations (1),120,0,1,6,2,58.33
acute-inflammations (2),120,0,1,6,2,50.83
ada_agnostic (1),4562,0,48,1,2,75.19
ada_prior (1),4562,88,6,9,2,75.19
analcatdata_apnea1 (2),475,0,1,3,2,87.16
analcatdata_apnea2 (2),475,0,1,3,2,86.53
analcatdata_apnea3 (2),450,0,1,3,2,87.78
analcatdata_asbestos (1),83,0,1,3,3,54.22
analcatdata_authorship (1),841,0,70,1,4,37.69
analcatdata_authorship (2),841,0,70,1,2,62.31
analcatdata_bankruptcy (1),50,0,5,2,2,50
analcatdata_birthday (2),365,30,1,3,2,85.48
analcatdata_bondrate (1),57,1,4,8,5,57.89
analcatdata_bondrate (2),57,1,4,8,2,57.89
analcatdata_boxing1 (1),120,0,0,4,2,65
analcatdata_boxing2 (1),132,0,0,4,2,53.79
analcatdata_broadwaymult (1),285,27,3,5,7,41.4
analcatdata_broadwaymult (2),285,27,3,5,2,58.6
analcatdata_broadway (1),95,9,3,7,5,71.58
analcatdata_broadway (2),95,9,3,7,2,71.58
analcatdata_challenger (1),23,0,1,5,2,56.52
analcatdata_challenger (2),138,0,1,2,2,93.48
analcatdata_chlamydia (2),100,0,0,4,2,81
analcatdata_creditscore (1),100,0,3,4,2,73
analcatdata_cyyoung8092 (1),97,0,7,4,2,75.26
analcatdata_cyyoung9302 (1),92,0,6,5,2,79.35
analcatdata_dmft (1),797,0,0,5,6,19.45
analcatdata_dmft (2),797,0,0,5,2,80.55
analcatdata_draft (1),366,2,3,3,12,8.74
analcatdata_draft (2),366,1,3,3,2,91.26
analcatdata_election2000 (2),67,0,14,2,2,73.13
analcatdata_germangss (2),400,0,0,6,2,77.5
analcatdata_gsssexsurvey (2),159,6,4,6,2,77.99
analcatdata_gviolence (2),74,0,8,2,2,58.11
analcatdata_halloffame (2),1340,20,15,3,2,90.67
analcatdata_homerun (1),163,9,13,15,2,94.48
analcatdata_impeach (1),100,0,2,9,2,62
analcatdata_lawsuit (1),264,0,3,2,2,92.8
analcatdata_marketing (1),364,101,0,33,5,31.59
analcatdata_marketing (2),364,80,0,33,2,68.41
analcatdata_michiganacc (2),108,0,2,3,2,55.56
analcatdata_neavote (2),100,0,1,3,2,93
analcatdata_negotiation (2),92,26,4,2,2,71.74
analcatdata_olympic2000 (2),66,0,11,2,2,50
analcatdata_reviewer (1),379,1418,0,9,3,43.01
analcatdata_reviewer (2),379,1368,0,9,2,56.99
analcatdata_runshoes (2),60,14,4,7,2,60
analcatdata_seropositive (2),132,0,2,2,2,65.15
analcatdata_supreme (2),4052,0,7,1,2,76.04
analcatdata_uktrainacc (2),31,150,16,1,2,87.1
analcatdata_vehicle (2),48,0,0,5,2,56.25
analcatdata_vineyard (2),468,0,2,2,2,55.56
analcatdata_whale (1),228,20,6,2,2,50.88
analcatdata_wildcat (2),163,0,3,3,2,71.17
anneal (1),898,22175,6,33,6,76.17
anneal (3),898,22175,6,33,2,76.17
appendicitis (1),106,0,7,1,2,80.19
ar1 (1),121,0,29,1,2,92.56
ar3 (1),63,0,29,1,2,87.3
ar4 (1),107,0,29,1,2,81.31
ar5 (1),36,0,29,1,2,77.78
ar6 (1),101,0,29,1,2,85.15
arrhythmia (1),452,408,206,74,16,54.2
arrhythmia (2),452,408,206,74,2,54.2
arsenic-female-bladder (2),559,0,3,2,2,85.69
arsenic-female-lung (2),559,0,3,2,2,96.6
arsenic-male-bladder (2),559,0,3,2,2,95.71
arsenic-male-lung (2),559,0,3,2,2,97.67
artificial-characters (1),10218,0,7,1,10,13.86
audiology (1),226,317,0,70,24,25.22
audiology (2),226,317,0,70,2,74.78
auto93 (2),93,14,16,7,2,62.37
autoHorse (2),205,57,17,9,2,59.51
autoMpg (2),398,6,4,4,2,52.51
autoPrice (2),159,0,15,1,2,66.04
autos (1),205,59,15,11,7,32.68
autos (2),205,59,15,11,2,67.32
autoUniv-au1-1000 (1),1000,0,20,1,2,74.1
autoUniv-au4-2500 (1),2500,0,58,43,3,46.92
autoUniv-au6-1000 (1),1000,0,37,4,8,24
autoUniv-au6-400 (1),400,0,37,4,8,27.75
autoUniv-au6-750 (1),750,0,37,4,8,22
autoUniv-au7-1100 (1),1100,0,8,5,5,27.73
autoUniv-au7-500 (1),500,0,8,5,5,38.4
autoUniv-au7-700 (1),700,0,8,5,3,35
auto_price (2),159,0,14,2,2,66.04
BachChoralHarmony (1),5665,0,2,15,102,8.88
backache (1),180,0,6,27,2,86.11
badges2 (1),294,0,8,4,2,71.43
balance-scale (1),625,0,4,1,3,46.08
balance-scale (2),625,0,4,1,2,53.92
balloon (2),2001,0,2,1,2,75.91
banana (1),5300,0,2,1,2,55.17
bank-marketing (2),4521,0,7,10,2,88.48
bank8FM (2),8192,0,8,1,2,59.63
banknote-authentication (1),1372,0,4,1,2,55.54
baskball (2),96,0,4,1,2,51.04
biomed (1),209,15,7,2,2,64.11
blogger (1),100,0,0,6,2,68
blood-transfusion-service-center (1),748,0,4,1,2,76.2
bodyfat (2),252,0,14,1,2,50.79
bolts (2),40,0,7,1,2,65
boston (2),506,0,11,3,2,58.7
boston_corrected (2),506,0,17,4,2,55.93
braziltourism (1),412,96,4,5,7,77.18
braziltourism (2),412,96,4,5,2,77.18
breast-cancer-dropped-missing-attributes-values (1),277,0,0,10,2,70.76
breast-cancer (1),286,9,0,10,2,70.28
breast-tissue (1),106,0,9,1,6,20.75
breast-tissue (2),106,0,9,1,4,46.23
breast-w (1),699,16,9,1,2,65.52
breastTumor (2),286,9,1,9,2,58.04
bridges (1),107,73,3,10,6,41.12
bridges (2),107,73,0,13,6,41.12
bridges (3),105,61,3,10,6,41.9
bridges (4),105,61,0,13,6,41.9
bridges (5),107,71,3,10,2,58.88
cal_housing (1),20640,0,8,1,2,59.38
cardiotocography (1),2126,0,35,1,10,27.23
cardiotocography (2),2126,0,35,1,3,77.85
cars (1),406,14,6,3,3,62.56
cars (2),406,14,6,3,2,62.56
car (1),1728,0,0,7,4,70.02
car (2),1728,0,0,7,2,70.02
CastMetal1 (1),327,0,37,1,2,87.16
chatfield_4 (2),235,0,12,1,2,60.43
chess (1),28056,0,1,7,18,16.23
cholesterol (2),303,6,6,8,2,54.79
chscase_adopt (2),39,0,2,2,2,69.23
chscase_census2 (2),400,0,7,1,2,50.75
chscase_census3 (2),400,0,7,1,2,52
chscase_census4 (2),400,0,7,1,2,51.5
chscase_census5 (2),400,0,7,1,2,51.75
chscase_census6 (2),400,0,6,1,2,58.75
chscase_funds (2),185,0,2,2,2,52.97
chscase_geyser1 (2),222,0,2,1,2,60.36
chscase_health (2),50,0,2,3,2,52
chscase_vine1 (2),52,0,9,1,2,53.85
chscase_vine2 (2),468,0,2,1,2,54.7
chscase_whale (2),228,20,9,1,2,51.32
cjs (2),2796,68100,32,3,2,75.68
cleveland (2),303,6,6,8,2,54.13
climate-model-simulation-crashes (1),540,0,20,1,2,91.48
cloud (2),108,0,6,2,2,70.37
cm1_req (1),89,0,7,2,2,77.53
cmc (1),1473,0,2,8,3,42.7
cmc (2),1473,0,2,8,2,57.3
colic (1),368,1927,7,21,2,66.3
colic (2),368,1927,7,16,2,63.04
colleges_aaup (2),1161,256,13,4,2,70.03
colleges_usnews (2),1302,7830,32,3,2,52.84
collins (1),500,0,20,4,15,16
collins (2),500,0,20,4,2,84
confidence (2),72,0,3,1,2,83.33
contact-lenses (1),24,0,0,5,3,62.5
CostaMadre1 (2),296,0,37,1,2,87.16
cpu (2),209,0,6,2,2,74.64
cpu_act (3),8192,0,21,1,2,69.76
cpu_small (3),8192,0,12,1,2,69.76
credit-a (1),690,67,6,10,2,55.51
credit-g (1),1000,0,7,14,2,70
datatrieve (1),130,0,8,1,2,91.54
data (1),898,0,6,26,5,76.17
dbworld-subjects-stemmed (1),64,0,0,230,2,54.69
dbworld-subjects (1),64,0,0,243,2,54.69
delta_ailerons (1),7129,0,5,1,2,53.06
delta_elevators (3),9517,0,6,1,2,50.28
dermatology (1),366,8,1,34,6,30.6
dermatology (2),366,8,1,34,2,69.4
desharnais (1),81,0,11,1,3,56.79
desharnais (2),81,0,12,1,3,56.79
diabetes (1),768,0,8,1,2,65.1
diabetes_numeric (2),43,0,2,1,2,60.47
diggle_table_a1 (2),48,0,4,1,2,52.08
diggle_table_a2 (2),310,0,7,2,2,53.23
disclosure_x_bias (2),662,0,3,1,2,52.11
disclosure_x_noise (2),662,0,3,1,2,50.3
disclosure_x_tampered (2),662,0,3,1,2,50.6
disclosure_z (2),662,0,3,1,2,52.57
dresses-sales (1),500,0,1,12,2,58
dresses-sales (2),500,835,1,12,2,58
echoMonths (2),130,97,6,4,2,50.77
ecoli (1),336,0,7,1,8,42.56
ecoli (2),336,0,7,1,2,57.44
elusage (2),55,0,1,2,2,56.36
energy-efficiency (1),768,0,8,2,38,10.03
Engine1 (1),383,0,5,1,3,67.1
eucalyptus (1),736,448,14,6,5,29.08
eucalyptus (2),736,448,14,6,2,70.92
fertility (1),100,0,9,1,2,88
fishcatch (2),158,87,5,3,2,60.13
fl2000 (2),67,0,14,2,2,61.19
flags (1),194,0,2,28,8,35.57
flags (2),194,0,2,28,2,64.43
fri_c0_1000_10 (2),1000,0,10,1,2,50.9
fri_c0_1000_25 (2),1000,0,25,1,2,50.3
fri_c0_1000_50 (2),1000,0,50,1,2,51
fri_c0_1000_5 (2),1000,0,5,1,2,50.3
fri_c0_100_10 (2),100,0,10,1,2,55
fri_c0_100_25 (2),100,0,25,1,2,50
fri_c0_100_50 (2),100,0,50,1,2,51
fri_c0_100_5 (2),100,0,5,1,2,54
fri_c0_250_10 (2),250,0,10,1,2,50
fri_c0_250_25 (2),250,0,25,1,2,50.4
fri_c0_250_50 (2),250,0,50,1,2,53.2
fri_c0_250_5 (2),250,0,5,1,2,50
fri_c0_500_10 (2),500,0,10,1,2,51.8
fri_c0_500_25 (2),500,0,25,1,2,51
fri_c0_500_50 (2),500,0,50,1,2,51.2
fri_c0_500_5 (2),500,0,5,1,2,50.2
fri_c1_1000_10 (2),1000,0,10,1,2,56.4
fri_c1_1000_25 (2),1000,0,25,1,2,54.6
fri_c1_1000_50 (2),1000,0,50,1,2,54.7
fri_c1_1000_5 (2),1000,0,5,1,2,54.3
fri_c1_100_10 (2),100,0,10,1,2,53
fri_c1_100_25 (2),100,0,25,1,2,53
fri_c1_100_50 (2),100,0,50,1,2,56
fri_c1_100_5 (2),100,0,5,1,2,55
fri_c1_250_10 (2),250,0,10,1,2,56
fri_c1_250_25 (2),250,0,25,1,2,57.2
fri_c1_250_50 (2),250,0,50,1,2,54.8
fri_c1_250_5 (2),250,0,5,1,2,52.4
fri_c1_500_10 (2),500,0,10,1,2,54.8
fri_c1_500_25 (2),500,0,25,1,2,53.4
fri_c1_500_50 (2),500,0,50,1,2,52.4
fri_c1_500_5 (2),500,0,5,1,2,53.4
fri_c2_1000_10 (2),1000,0,10,1,2,58
fri_c2_1000_25 (2),1000,0,25,1,2,56.3
fri_c2_1000_50 (2),1000,0,50,1,2,58.2
fri_c2_1000_5 (2),1000,0,5,1,2,58.4
fri_c2_100_10 (2),100,0,10,1,2,55
fri_c2_100_25 (2),100,0,25,1,2,57
fri_c2_100_50 (2),100,0,50,1,2,58
fri_c2_100_5 (2),100,0,5,1,2,60
fri_c2_250_10 (2),250,0,10,1,2,63.6
fri_c2_250_25 (2),250,0,25,1,2,55.6
fri_c2_250_50 (2),250,0,50,1,2,54.8
fri_c2_250_5 (2),250,0,5,1,2,56
fri_c2_500_10 (2),500,0,10,1,2,57.2
fri_c2_500_25 (2),500,0,25,1,2,60.8
fri_c2_500_50 (2),500,0,50,1,2,59
fri_c2_500_5 (2),500,0,5,1,2,59.6
fri_c3_1000_10 (2),1000,0,10,1,2,56
fri_c3_1000_25 (2),1000,0,25,1,2,55.7
fri_c3_1000_50 (2),1000,0,50,1,2,55.5
fri_c3_1000_5 (2),1000,0,5,1,2,56.3
fri_c3_100_10 (2),100,0,10,1,2,60
fri_c3_100_25 (2),100,0,25,1,2,55
fri_c3_100_50 (2),100,0,50,1,2,62
fri_c3_100_5 (2),100,0,5,1,2,56
fri_c3_250_10 (2),250,0,10,1,2,54
fri_c3_250_25 (2),250,0,25,1,2,55.6
fri_c3_250_50 (2),250,0,50,1,2,56.8
fri_c3_250_5 (2),250,0,5,1,2,56.4
fri_c3_500_10 (2),500,0,10,1,2,54.4
fri_c3_500_25 (2),500,0,25,1,2,56
fri_c3_500_50 (2),500,0,50,1,2,56.4
fri_c3_500_5 (2),500,0,5,1,2,52.6
fri_c4_1000_100 (2),1000,0,100,1,2,56.4
fri_c4_1000_10 (2),1000,0,10,1,2,56
fri_c4_1000_25 (2),1000,0,25,1,2,54.7
fri_c4_1000_50 (2),1000,0,50,1,2,56
fri_c4_100_100 (2),100,0,100,1,2,53
fri_c4_100_10 (2),100,0,10,1,2,53
fri_c4_100_25 (2),100,0,25,1,2,54
fri_c4_100_50 (2),100,0,50,1,2,56
fri_c4_250_100 (2),250,0,100,1,2,56
fri_c4_250_10 (2),250,0,10,1,2,53.2
fri_c4_250_25 (2),250,0,25,1,2,54.4
fri_c4_250_50 (2),250,0,50,1,2,54
fri_c4_500_100 (2),500,0,100,1,2,56.6
fri_c4_500_10 (2),500,0,10,1,2,55.2
fri_c4_500_25 (2),500,0,25,1,2,56.8
fri_c4_500_50 (2),500,0,50,1,2,52.8
fruitfly (2),125,0,2,3,2,60.8
glass (1),214,0,9,1,7,35.51
glass (2),214,0,9,1,2,64.49
grub-damage (1),155,0,2,7,4,31.61
grub-damage (2),155,0,2,7,2,68.39
haberman (1),306,0,2,2,2,73.53
hayes-roth (1),160,0,4,1,4,40.63
hayes-roth (2),132,0,4,1,2,61.36
heart-c (1),303,7,6,8,5,54.46
heart-c (2),303,7,6,8,2,54.46
heart-h (1),294,782,6,8,5,63.95
heart-h (3),294,0,13,1,5,63.95
heart-long-beach (1),200,0,13,1,5,28
heart-statlog (1),270,0,13,1,2,55.56
heart-switzerland (1),123,0,12,1,5,39.02
hepatitis (1),155,167,6,14,2,79.35
hill-valley (1),1212,0,100,1,2,50
hip (2),54,120,7,1,2,51.85
houses (2),20640,0,8,1,2,56.81
housing (1),506,0,12,2,2,58.7
humandevel (2),130,0,2,2,2,50
hutsof99_child_witness (2),42,0,16,1,2,59.52
hutsof99_logis (2),70,0,3,5,2,51.43
hypothyroid (1),3772,6064,7,23,4,92.29
hypothyroid (2),3772,6064,7,23,2,92.29
ilpd (1),583,0,9,2,2,71.36
ionosphere (1),351,0,34,1,2,64.1
irish (1),500,32,2,4,3,65
iris (3),150,0,4,1,2,66.67
jEdit_4.0_4.2 (1),274,0,8,1,2,51.09
jEdit_4.2_4.3 (1),369,0,8,1,2,55.28
jm1 (1),10885,25,21,1,2,80.65
kc1-binary (1),145,0,94,1,2,58.62
kc1-top5 (1),145,0,94,1,2,94.48
kc1 (1),2109,0,21,1,2,84.54
kc2 (1),522,0,21,1,2,79.5
kc3 (1),458,0,39,1,2,90.61
kdd_el_nino-small (2),782,466,6,3,2,64.96
kdd_synthetic_control (1),600,0,60,2,2,83.33
kidney (2),76,0,3,4,2,52.63
kin8nm (2),8192,0,8,1,2,50.88
KnuggetChase3 (1),194,0,39,1,2,81.44
kr-vs-k (1),28056,0,3,4,18,16.23
kropt (1),28056,0,0,7,18,16.23
KungChi3 (1),123,0,39,1,2,86.99
labor (1),57,326,8,9,2,64.91
leaf (1),340,0,15,1,30,4.71
LED-display-domain-7digit (1),500,0,7,1,10,11.4
letter-challenge-unlabeled (1),20000,10000,16,1,2,86.2
letter (1),20000,0,16,1,26,4.07
letter (2),20000,0,16,1,2,95.94
lowbwt (2),189,0,2,8,2,52.38
lsvt (1),126,0,310,1,2,66.67
lung-cancer (1),32,5,0,57,2,71.88
lymph (1),148,0,3,16,4,54.73
lymph (2),148,0,3,16,2,54.73
machine_cpu (2),209,0,6,1,2,73.21
mammography (1),11183,0,6,1,2,97.68
mbagrade (2),61,0,1,2,2,52.46
mc1 (1),9466,0,38,1,2,99.28
mc2 (1),161,0,39,1,2,67.7
meta (2),528,504,19,3,2,89.77
meta_all (1),71,0,62,1,6,59.15
meta_batchincremental (1),74,0,62,1,4,67.57
meta_ensembles (1),74,0,62,1,4,60.81
meta_instanceincremental (1),74,0,62,1,4,72.97
mfeat-morphological (1),2000,0,6,1,10,10
mfeat-morphological (2),2000,0,6,1,2,90
mfeat-pixel (1),2000,0,0,241,10,10
mfeat-pixel (2),2000,0,0,241,2,90
mfeat-zernike (2),2000,0,47,1,2,90
MindCave2 (1),125,0,39,1,2,64.8
molecular-biology_promoters (1),106,0,0,59,4,32.08
molecular-biology_promoters (2),106,0,0,59,2,67.92
monks-problems-1 (1),556,0,0,7,2,51.08
monks-problems-2 (1),601,0,0,7,2,50.08
monks-problems-3 (1),554,0,0,7,2,50.36
mozilla4 (1),15545,0,5,1,2,67.14
mu284 (2),284,0,10,1,2,50
mw1 (1),403,0,37,1,2,92.31
newton_hema (2),140,0,2,2,2,50
no2 (2),500,0,7,1,2,50.2
nursery (2),12960,0,0,9,2,66.67
nursery (3),12958,0,0,9,4,33.34
one-hundred-plants-margin (1),1600,0,64,1,100,1
one-hundred-plants-shape (1),1600,0,64,1,100,1
one-hundred-plants-texture (1),1599,0,64,1,100,1
optdigits (1),5620,0,64,1,10,10.18
optdigits (2),5620,0,64,1,2,89.82
ozone-level-8hr (1),2534,0,72,1,2,93.69
page-blocks (1),5473,0,10,1,5,89.77
page-blocks (2),5473,0,10,1,2,89.77
parkinsons (1),195,0,22,1,2,75.38
pasture (1),36,0,21,2,3,33.33
pasture (2),36,0,21,2,2,66.67
pbcseq (2),1945,1133,12,7,2,50.03
pbc (3),418,1239,10,9,2,55.02
pc1 (1),1109,0,21,1,2,93.06
pc1_req (1),320,0,7,2,2,66.56
pc2 (1),5589,0,36,1,2,99.59
pc3 (1),1563,0,37,1,2,89.76
pendigits (1),10992,0,16,1,10,10.41
pendigits (2),10992,0,16,1,2,89.59
pharynx (2),195,2,1,11,2,62.05
PhishingWebsites (1),11055,0,0,31,2,55.69
phoneme (1),5404,0,5,1,2,70.65
PieChart1 (1),705,0,37,1,2,91.35
PieChart2 (1),745,0,36,1,2,97.85
PieChart3 (1),1077,0,37,1,2,87.56
PizzaCutter1 (1),661,0,37,1,2,92.13
PizzaCutter3 (1),1043,0,37,1,2,87.82
planning-relax (1),182,0,12,1,2,71.43
plasma_retinol (2),315,0,10,4,2,57.78
pm10 (2),500,0,7,1,2,50.8
pollen (2),3848,0,5,1,2,50
pollution (2),60,0,15,1,2,51.67
postoperative-patient-data (1),90,3,0,9,3,71.11
postoperative-patient-data (2),90,3,0,9,2,71.11
primary-tumor (1),339,225,0,18,22,24.78
primary-tumor (2),339,225,0,18,2,75.22
prnn_cushings (1),27,0,2,2,4,44.44
prnn_fglass (1),214,0,9,1,6,35.51
prnn_fglass (2),214,0,9,1,2,64.49
prnn_synth (1),250,0,2,1,2,50
prnn_viruses (1),61,0,10,9,4,63.93
puma8NH (2),8192,0,8,1,2,50.22
pwLinear (2),200,0,10,1,2,51.5
pyrim (2),74,0,27,1,2,58.11
qsar-biodeg (1),1055,0,41,1,2,66.26
qualitative-bankruptcy (1),250,0,0,7,2,57.2
rabe_131 (2),50,0,5,1,2,58
rabe_148 (2),66,0,5,1,2,50
rabe_166 (2),40,0,2,1,2,52.5
rabe_176 (2),70,0,4,1,2,50
rabe_265 (2),51,0,6,1,2,58.82
rabe_266 (2),120,0,2,1,2,52.5
rabe_97 (2),46,0,3,2,2,54.35
ringnorm (1),7400,0,20,1,2,50.49
rmftsa_ctoarrivals (2),264,0,1,2,2,61.74
rmftsa_ladata (2),508,0,10,1,2,56.3
rmftsa_sleepdata (2),1024,0,1,2,2,50.29
robot-failures-lp1 (1),88,0,90,1,4,38.64
robot-failures-lp2 (1),47,0,90,1,5,42.55
robot-failures-lp3 (1),47,0,90,1,4,42.55
robot-failures-lp4 (1),117,0,90,1,3,61.54
robot-failures-lp5 (1),164,0,90,1,5,28.66
sa-heart (1),462,0,8,2,2,65.37
schizo (1),340,834,12,3,2,52.06
schlvote (2),38,0,4,2,2,73.68
segment (1),2310,0,19,1,7,14.29
segment (2),2310,0,19,1,2,85.71
semeion (1),1593,0,256,1,10,10.17
sensory (2),576,0,0,12,2,58.51
servo (1),167,0,0,5,2,77.25
shuttle-landing-control (1),15,26,0,7,2,93.33
sleep (3),62,8,7,1,2,53.23
sleuth_case1102 (2),34,0,5,4,2,55.88
sleuth_case1201 (2),50,0,6,2,2,52
sleuth_case1202 (2),93,0,4,3,2,61.29
sleuth_case2002 (2),147,0,2,5,2,53.06
sleuth_ex1221 (2),42,0,8,3,2,54.76
sleuth_ex1605 (2),62,0,5,1,2,50
sleuth_ex1714 (2),47,0,7,1,2,57.45
sleuth_ex2015 (2),60,0,6,2,2,55
sleuth_ex2016 (2),87,0,8,3,2,51.72
socmob (2),1156,0,1,5,2,77.85
solar-flare (1),323,0,0,13,2,97.83
solar-flare (2),1066,0,0,13,3,99.53
sonar (1),208,0,60,1,2,53.37
soybean (1),683,2337,0,36,19,13.47
soybean (2),683,2337,0,36,2,86.53
space_ga (2),3107,0,6,1,2,50.4
spambase (1),4601,0,57,1,2,60.6
SPECTF (2),267,0,44,1,2,79.4
spectrometer (2),531,0,100,3,2,89.64
SPECT (1),267,0,0,23,2,58.8
splice (1),3190,0,0,62,3,51.88
splice (2),3190,0,0,62,2,51.88
sponge (1),76,22,0,46,3,92.11
sponge (2),76,22,0,46,2,92.11
squash-stored (1),52,7,21,4,3,44.23
squash-stored (2),52,7,21,4,2,55.77
squash-unstored (1),52,39,20,4,3,46.15
squash-unstored (2),52,39,20,4,2,53.85
steel-plates-fault (1),1941,0,33,1,2,65.33
stock (2),950,0,9,1,2,51.37
strikes (2),625,0,6,1,2,50.4
synthetic_control (1),600,0,60,2,6,16.67
tae (1),151,0,3,3,3,34.44
tae (2),151,0,3,3,2,65.56
teachingAssistant (1),151,0,2,5,3,34.44
tecator (2),240,0,124,1,2,57.5
thoracic-surgery (1),470,0,3,14,2,85.11
thyroid-ann (1),3772,0,21,1,3,92.47
tic-tac-toe (1),958,0,0,10,2,65.34
trains (1),10,51,0,33,2,50
transplant (2),131,0,3,1,2,63.36
triazines (2),186,0,60,1,2,58.6
user-knowledge (1),403,0,5,1,5,32.01
usp05-ft (1),76,37,8,7,6,77.63
usp05 (1),203,0,3,14,11,55.17
vehicle (1),846,0,18,1,4,25.77
vehicle (2),846,0,18,1,2,74.23
vertebra-column (1),310,0,6,1,3,48.39
vertebra-column (2),310,0,6,1,2,67.74
veteran (2),137,0,3,5,2,68.61
vineyard (2),52,0,3,1,2,53.85
vinnie (2),380,0,2,1,2,51.32
visualizing_environmental (2),111,0,3,1,2,52.25
visualizing_ethanol (2),88,0,2,1,2,51.14
visualizing_galaxy (2),323,0,4,1,2,54.18
visualizing_hamster (2),73,0,5,1,2,54.79
visualizing_livestock (2),130,0,0,3,2,80.77
visualizing_slope (2),44,0,3,1,2,61.36
visualizing_soil (2),8641,0,3,2,2,55.01
volcanoes-a1 (1),3252,0,3,1,5,90.77
volcanoes-a2 (1),1623,0,3,1,5,90.63
volcanoes-a3 (1),1521,0,3,1,5,90.01
volcanoes-a4 (1),1515,0,3,1,5,90.1
volcanoes-b1 (1),10176,0,3,1,5,96.22
volcanoes-b2 (1),10668,0,3,1,5,96.41
volcanoes-b3 (1),10386,0,3,1,5,96.34
volcanoes-b4 (1),10190,0,3,1,5,96.22
volcanoes-b5 (1),9989,0,3,1,5,96.1
volcanoes-b6 (1),10130,0,3,1,5,96.21
volcanoes-c1 (1),28626,0,3,1,5,97.45
volcanoes-d1 (1),8753,0,3,1,5,94.42
volcanoes-d2 (1),9172,0,3,1,5,94.53
volcanoes-d3 (1),9285,0,3,1,5,94.46
volcanoes-d4 (1),8654,0,3,1,5,94.33
volcanoes-e1 (1),1183,0,3,1,5,91.55
volcanoes-e2 (1),1080,0,3,1,5,91.11
volcanoes-e3 (1),1277,0,3,1,5,91.62
volcanoes-e4 (1),1252,0,3,1,5,91.37
volcanoes-e5 (1),1112,0,3,1,5,90.83
vote (1),435,392,0,17,2,61.38
vowel (2),990,0,10,3,11,9.09
vowel (3),990,0,10,4,2,90.91
wall-robot-navigation (1),5456,0,24,1,4,40.41
wall-robot-navigation (2),5456,0,2,1,4,40.41
wall-robot-navigation (3),5456,0,4,1,4,40.41
water-treatment (2),527,560,21,18,2,84.82
wdbc (1),569,0,30,1,2,62.74
white-clover (1),63,0,27,5,4,60.32
white-clover (2),63,0,27,5,2,60.32
wholesale-customers (1),440,0,7,2,3,71.82
wilt (1),4839,0,5,1,2,94.61
wind (2),6574,0,14,1,2,53.26
wind_correlations (2),45,0,46,1,2,51.11
wine-quality-white (1),4898,0,11,1,7,44.88
wine (2),178,0,13,1,2,60.11
wisconsin (2),194,0,32,1,2,53.61
witmer_census_1980 (2),50,0,4,2,2,52
yeast (1),1484,0,8,1,10,31.2
zoo (1),101,0,1,17,7,40.59
zoo (2),101,0,1,17,2,59.41
